open,high,low,last,close,volume,date,symbol,exchange
237.47,239.13,236.64,,238.265,,2020-03-24T22:10:00+0000,AAPL,IEXG
237.855,238.02,237.19,,237.24,,2020-03-24T22:05:00+0000,AAPL,IEXG
238.615,242.99,236.64,,242.93,,2020-03-24T22:00:00+0000,AAPL,IEXG
238.98,239.47,238.39,,238.39,,2020-03-24T21:55:00+0000,AAPL,IEXG
239.33,239.47,238.39,,238.39,,2020-03-24T21:50:00+0000,AAPL,IEXG
240.33,240.73,238.39,,238.39,,2020-03-24T21:45:00+0000,AAPL,IEXG
240.61,240.805,239.585,,239.585,,2020-03-24T21:40:00+0000,AAPL,IEXG
240.695,240.76,240.43,,240.625,,2020-03-24T21:35:00+0000,AAPL,IEXG
240.46,241.13,238.39,,238.39,,2020-03-24T21:30:00+0000,AAPL,IEXG
239.58,240.56,239.55,,240.37,,2020-03-24T21:25:00+0000,AAPL,IEXG
239.845,240.56,239.125,,240.37,,2020-03-24T21:20:00+0000,AAPL,IEXG
240.53,240.59,239.125,,240.37,,2020-03-24T21:15:00+0000,AAPL,IEXG
239.45,240.62,239.295,,240.11,,2020-03-24T21:10:00+0000,AAPL,IEXG
240.28,240.47,239.46,,239.63,,2020-03-24T21:05:00+0000,AAPL,IEXG
240.54,241.36,238.39,,238.39,,2020-03-24T21:00:00+0000,AAPL,IEXG
241.63,241.9,240.16,,240.18,,2020-03-24T20:55:00+0000,AAPL,IEXG
241.9,242.01,240.16,,240.18,,2020-03-24T20:50:00+0000,AAPL,IEXG
242.79,242.79,240.16,,240.18,,2020-03-24T20:45:00+0000,AAPL,IEXG
242.83,242.89,241.59,,241.9,,2020-03-24T20:40:00+0000,AAPL,IEXG
242.31,243.0,242.31,,242.96,,2020-03-24T20:35:00+0000,AAPL,IEXG
242.55,243.0,240.16,,240.18,,2020-03-24T20:30:00+0000,AAPL,IEXG
242.085,242.555,242.085,,242.555,,2020-03-24T20:25:00+0000,AAPL,IEXG
241.59,242.555,241.54,,242.555,,2020-03-24T20:20:00+0000,AAPL,IEXG
241.37,242.555,241.305,,242.555,,2020-03-24T20:15:00+0000,AAPL,IEXG
241.93,241.93,241.305,,241.59,,2020-03-24T20:10:00+0000,AAPL,IEXG
241.95,242.36,241.395,,241.78,,2020-03-24T20:05:00+0000,AAPL,IEXG
242.425,246.6,236.64,,246.6,,2020-03-24T20:00:00+0000,AAPL,IEXG
241.44,242.33,241.44,,242.25,,2020-03-24T19:55:00+0000,AAPL,IEXG
240.955,242.33,240.58,,242.25,,2020-03-24T19:50:00+0000,AAPL,IEXG
241.57,242.33,240.58,,242.25,,2020-03-24T19:45:00+0000,AAPL,IEXG
240.895,241.75,240.74,,240.79,,2020-03-24T19:40:00+0000,AAPL,IEXG
240.45,240.975,240.435,,240.945,,2020-03-24T19:35:00+0000,AAPL,IEXG
240.755,242.33,239.855,,242.25,,2020-03-24T19:30:00+0000,AAPL,IEXG
240.22,241.0,240.22,,240.66,,2020-03-24T19:25:00+0000,AAPL,IEXG
240.425,241.0,240.01,,240.66,,2020-03-24T19:20:00+0000,AAPL,IEXG
240.49,241.0,239.825,,240.66,,2020-03-24T19:15:00+0000,AAPL,IEXG
239.605,240.88,239.25,,240.44,,2020-03-24T19:10:00+0000,AAPL,IEXG
240.63,240.705,239.18,,239.9,,2020-03-24T19:05:00+0000,AAPL,IEXG
241.255,242.33,239.18,,242.25,,2020-03-24T19:00:00+0000,AAPL,IEXG
241.13,241.68,240.88,,241.115,,2020-03-24T18:55:00+0000,AAPL,IEXG
241.44,241.88,240.88,,241.115,,2020-03-24T18:50:00+0000,AAPL,IEXG
242.365,242.365,240.88,,241.115,,2020-03-24T18:45:00+0000,AAPL,IEXG
241.7,242.62,241.14,,241.505,,2020-03-24T18:40:00+0000,AAPL,IEXG
242.17,242.17,241.2,,241.78,,2020-03-24T18:35:00+0000,AAPL,IEXG
241.25,242.62,240.88,,241.115,,2020-03-24T18:30:00+0000,AAPL,IEXG
241.855,243.31,241.855,,241.89,,2020-03-24T18:25:00+0000,AAPL,IEXG
240.16,243.31,239.115,,241.89,,2020-03-24T18:20:00+0000,AAPL,IEXG
240.005,243.31,239.115,,241.89,,2020-03-24T18:15:00+0000,AAPL,IEXG
237.89,240.57,237.71,,240.015,,2020-03-24T18:10:00+0000,AAPL,IEXG
236.665,238.2,236.665,,238.03,,2020-03-24T18:05:00+0000,AAPL,IEXG
236.5,243.31,236.0,,241.115,,2020-03-24T18:00:00+0000,AAPL,IEXG
237.435,237.54,236.17,,236.46,,2020-03-24T17:55:00+0000,AAPL,IEXG
236.13,237.77,235.96,,236.46,,2020-03-24T17:50:00+0000,AAPL,IEXG
235.595,237.77,235.41,,236.46,,2020-03-24T17:45:00+0000,AAPL,IEXG
235.155,237.5,234.89,,236.35,,2020-03-24T17:40:00+0000,AAPL,IEXG
237.665,237.665,234.47,,235.4,,2020-03-24T17:35:00+0000,AAPL,IEXG
236.92,237.77,234.47,,236.46,,2020-03-24T17:30:00+0000,AAPL,IEXG
223.98,223.98,223.98,,223.98,,2020-03-24T00:00:00+0000,AAPL,IEXG
225.64,226.69,223.23,,223.98,,2020-03-23T23:55:00+0000,AAPL,IEXG
219.51,226.69,219.28,,223.98,,2020-03-23T23:50:00+0000,AAPL,IEXG
219.8,226.69,219.28,,223.98,,2020-03-23T23:45:00+0000,AAPL,IEXG
219.64,220.91,218.86,,219.515,,2020-03-23T23:40:00+0000,AAPL,IEXG
