index,batch_size,optimizer,learning_rate,neuronas_1,dropout_1,dropout_recurrente_1,activador_capas_1,activador_recurrente,activador_salida,bidireccional_1,Losses_train,Losses_val,Losses_test
27,20,adam,0.01,64,0,0.0843569490260022,swish,linear,gelu,concat,0.0293026119470596,0.0293475538492202,0.0368084050714969
28,20,adam,0.01,96,0,0.117456833453948,swish,linear,gelu,concat,0.0293026119470596,0.0293475538492202,0.0368084050714969
29,20,adam,0.006,80,0,0.022164900401448,swish,selu,swish,concat,0.0869999751448631,0.0721237957477569,0.1005257964134216
30,20,adam,0.01,128,0,0.2468030600429146,swish,selu,gelu,concat,0.1482711732387542,0.1227618157863617,0.1626994162797928
31,20,adam,0.006,112,0,0.0840188870248159,swish,hard_sigmoid,swish,concat,0.0028625782579183,0.0030149009544402,0.0029764457140117
32,16,adam,0.006,128,0,0.1614948174577316,swish,linear,gelu,concat,0.0018870064523071,0.0021572627592831,0.0025081934873014
33,16,adam,0.01,112,0,0.2491006799557423,swish,selu,selu,concat,0.0022695567458868,0.0023257147986441,0.0026147849857807
34,16,adam,0.006,80,0,0.218649881601256,swish,hard_sigmoid,gelu,concat,0.0034077258314937,0.0034529736731201,0.0033411716576665
35,16,adam,0.006,128,0,0.1559251987002824,swish,linear,swish,concat,0.0020869891159236,0.0021183809731155,0.0023548996541649
36,16,adam,0.006,128,0,0.1640604758929608,swish,linear,gelu,concat,0.0028263051062822,0.0028802063316106,0.0036523134913295
37,16,adam,0.006,128,0,0.152538139045627,swish,linear,swish,concat,0.0022584793623536,0.0023258356377482,0.0026938691735267
38,16,adam,0.006,128,0,0.1750422743185893,swish,linear,selu,concat,0.0020688157528638,0.0020943146664649,0.0025390374939888
39,16,adam,0.006,128,0,0.1782034000633806,swish,linear,selu,ave,0.0703646689653396,0.0603178702294826,0.0733205899596214
40,16,adam,0.006,96,0,0.1973675562646832,swish,sigmoid,selu,concat,0.0026955530047416,0.0024996728170663,0.0027752022724598
41,16,adam,0.006,128,0,0.1408222040078152,swish,linear,selu,ave,0.0020932205952703,0.0022192301694303,0.0023061076644808
42,12,adam,0.006,128,0,0.1206865479526655,swish,hard_sigmoid,selu,concat,0.0028969103004783,0.0026937623042613,0.0031372446101158
43,16,adam,0.006,64,0,0.176932871119701,swish,linear,selu,concat,0.002544384682551,0.0025850078091025,0.003068221732974
44,16,adam,0.006,80,0,0.1990483448682188,swish,sigmoid,selu,ave,0.0025574730243533,0.00236730533652,0.0026736182626336
45,16,adam,0.006,128,0,0.1874095475534484,swish,tanh,selu,concat,0.0049636014737188,0.0040684342384338,0.005120706744492
46,12,adam,0.006,96,0,0.2083108419237104,swish,linear,swish,ave,0.078951671719551,0.0706124976277351,0.0981474816799163
47,16,adam,0.006,128,0,0.1487890683267587,swish,hard_sigmoid,selu,concat,0.0033964463509619,0.0031689212191849,0.0032442600931972
48,16,adam,0.006,128,0,0.073798398938883,swish,tanh,swish,concat,0.0025014989078044,0.0025763616431504,0.0029550672043114
49,12,adam,0.006,128,0,0.1704433221268314,swish,sigmoid,selu,ave,0.0050279195420444,0.0047616777010262,0.0049227215349674
50,16,adam,0.006,64,0,0.0956562681200399,swish,linear,swish,concat,0.0022931331768631,0.0026099018286913,0.0029469218570739
51,16,adam,0.006,96,0,0.1125128070445474,swish,linear,selu,concat,0.0020584238227456,0.0021734291221946,0.0028075259178876
52,12,adam,0.006,80,0,0.1275378240385626,swish,tanh,swish,ave,0.0030127933714538,0.0032429329585283,0.0033011464402079
53,16,adam,0.006,128,0,0.2155736233117471,swish,linear,selu,concat,0.0632610544562339,0.0585858114063739,0.0698737725615501
54,16,adam,0.006,128,0,0.187507877031707,swish,sigmoid,swish,concat,0.0031677915249019,0.0028469711542129,0.0028884962666779
55,16,adam,0.006,64,0,0.2340352923703068,swish,linear,swish,concat,0.0031677915249019,0.0028469711542129,0.0028884962666779
56,12,adam,0.006,128,0,0.127838954366082,swish,hard_sigmoid,selu,ave,0.0035352292470633,0.0031483594793826,0.0035737955477088
57,16,adam,0.006,96,0,0.0946811283291587,swish,linear,swish,concat,0.0027535711415112,0.0032109098974615,0.0035939458757638
58,16,adam,0.006,80,0,0.2289751871680402,swish,tanh,selu,concat,0.0023342061322182,0.0022014721762388,0.0024673016741871
59,16,adam,0.006,128,0,0.1426871426716859,swish,linear,swish,concat,0.002084007486701,0.0025520410854369,0.0032053564209491
60,12,adam,0.01,128,0,0.1723763232517794,swish,sigmoid,selu,concat,0.0028148049023002,0.0025819304864853,0.0031143419910222
61,16,adam,0.006,64,0,0.0528668600127867,swish,linear,swish,ave,0.0164625700563192,0.0132888676598668,0.0189066417515277
62,16,adam,0.006,128,0,0.1591666318956544,swish,hard_sigmoid,swish,concat,0.0034236079081892,0.0032470340374857,0.0035713750403374
63,12,adam,0.01,112,0,0.1875615693081188,swish,linear,selu,concat,0.0034236079081892,0.0032470340374857,0.0035713750403374
64,16,adam,0.006,96,0,0.1050648356526744,swish,tanh,swish,concat,0.0030211908742785,0.0034214805345982,0.0028788987547159
65,16,adam,0.006,128,0,0.1351777329712162,swish,linear,gelu,concat,0.0060756569728255,0.0043506948277354,0.0072500351816415
66,16,adam,0.006,128,0,0.160981886121598,swish,linear,gelu,concat,0.0288875047117471,0.0280993431806564,0.0298937428742647
67,16,adam,0.006,128,0,0.2087375742260668,swish,linear,gelu,concat,0.0024133622646331,0.0028917286545038,0.0028768507763743
68,16,adam,0.006,128,0,0.1513648614225934,swish,linear,gelu,concat,0.1001546084880828,0.0861615166068077,0.1140019968152046
69,16,adam,0.006,128,0,0.1697562562596698,swish,linear,gelu,concat,0.0019990790169686,0.0024214514996856,0.0024276690091937
70,16,adam,0.006,128,0,0.1920526443358696,swish,linear,gelu,concat,0.0024493511300534,0.0025720102712512,0.002889160066843
71,16,adam,0.006,128,0,0.1416552480520883,swish,selu,gelu,concat,0.0020967493765056,0.0022195288911461,0.0025041196495294
72,16,adam,0.006,80,0,0.1571312428323467,swish,linear,gelu,concat,0.002622865140438,0.0029395509045571,0.0032808494288474
73,16,adam,0.006,128,0,0.1153323401025432,swish,linear,gelu,concat,0.0027928580529987,0.0026648426428437,0.0033855158835649
74,16,adam,0.006,112,0,0.2424346287393449,swish,linear,gelu,concat,0.0079904804006218,0.0059391711838543,0.0076646418310701
75,16,adam,0.01,128,0,0.1808727245487865,swish,selu,selu,concat,0.0392542779445648,0.0359096117317676,0.0434344373643398
76,16,adam,0.006,64,0,0.2020601094956037,swish,sigmoid,gelu,concat,0.0038301078602671,0.0037840791046619,0.0041686710901558
77,16,adam,0.006,128,0,0.2240665843703276,swish,hard_sigmoid,swish,ave,0.0027239785995334,0.002571556949988,0.0026340496260672
78,12,adam,0.006,128,0,0.2113394218738709,swish,linear,selu,concat,0.0018763559637591,0.0021715946495532,0.0021789537277072
79,20,adam,0.01,80,0,0.1232558446226346,swish,linear,gelu,concat,0.0716010332107544,0.0659434497356414,0.0761844962835311
80,16,adam,0.006,96,0,0.1315048887421266,swish,tanh,swish,concat,0.0029350805561989,0.0035142146516591,0.0031076984014362
81,16,adam,0.006,112,0,0.1945226818125426,swish,linear,selu,ave,0.0765802860260009,0.0633771494030952,0.1129116714000702
82,16,adam,0.006,128,0,0.1651583704680553,swish,selu,swish,concat,0.0021562108304351,0.002479268470779,0.0028169953729957
83,20,adam,0.01,128,0,0.1545926279685422,swish,linear,selu,concat,0.1091119647026062,0.0949636921286583,0.1309871524572372
84,12,adam,0.006,64,0,0.0863421365137879,swish,sigmoid,gelu,concat,0.0031399666331708,0.0032034025061875,0.0029721294995397
85,16,adam,0.006,128,0,0.1749204521458361,swish,hard_sigmoid,swish,concat,0.0032501020468771,0.0031774099916219,0.0034608526621013
86,16,adam,0.006,80,0,0.1095047956160245,swish,linear,selu,ave,0.0433602482080459,0.0358747579157352,0.0566316060721874
87,16,adam,0.006,96,0,0.1475701656424354,swish,linear,gelu,concat,0.0019422438926994,0.0023173540830612,0.0028143897652626
88,20,adam,0.01,128,0,0.1841190107446363,swish,tanh,swish,concat,0.0027357582002878,0.0025160736404359,0.0028270662296563
89,16,adam,0.006,112,0,0.1390953302052247,swish,linear,selu,concat,0.0031512649729847,0.0034054173156619,0.0037647478748112
90,12,adam,0.006,128,0,0.072424669326267,swish,selu,swish,ave,0.1151259988546371,0.0937138125300407,0.1235653683543205
91,16,adam,0.006,64,0,0.1189160476599572,swish,sigmoid,selu,concat,0.0029157896060496,0.0027743086684495,0.0030779021326452
92,16,adam,0.006,128,0,0.1656885418199333,swish,hard_sigmoid,gelu,concat,0.0031610818114131,0.0031743578147143,0.0028772831428796
93,16,adam,0.01,128,0,0.0,swish,sigmoid,swish,concat,0.0017719212479889,0.0018481466151773,0.0020022563794627
94,20,adam,0.01,96,0,0.2311425511385308,swish,linear,swish,concat,0.0776234045624733,0.0698754414916038,0.0910655856132507
95,16,adam,0.01,80,0,0.2222969468483235,swish,linear,swish,ave,0.1629619598388672,0.132941260933876,0.1802189350128173
96,12,adam,0.01,128,0,0.2497197203640231,swish,tanh,swish,concat,0.0026184909511357,0.0024626806844025,0.0031848002690821
97,16,adam,0.01,112,0,0.2401191516560046,swish,linear,swish,concat,0.002542225876823,0.0024284727405756,0.0032072998583316
98,16,adam,0.01,128,0,0.213985299816231,swish,selu,swish,concat,0.0020228354260325,0.0020578184630721,0.0020571295171976
99,16,adam,0.01,128,0,0.2151978542144395,swish,selu,swish,concat,0.0022751516662538,0.0022957676555961,0.0027984951157122
