date,open,close,high,low
2021-03-29,258.265,256.89500000000004,261.11,255.04000000000002
2021-04-05,330.71,333.66,339.32500000000005,324.33
2021-04-12,323.15,324.585,330.105,317.39
2021-04-19,308.68,311.84000000000003,314.82,300.505
2021-04-26,289.58,290.15999999999997,293.77000000000004,285.59499999999997
2021-05-03,285.03499999999997,285.87,289.10499999999996,279.935
2021-05-10,273.1,273.99,278.845,268.015
2021-05-17,279.59999999999997,277.56,283.86,274.64
2021-05-24,228.805,228.48,231.085,226.11499999999998
2021-05-31,286.22,285.09999999999997,288.43,281.725
2021-06-07,288.1,286.32,290.04,284.34
2021-06-14,284.14500000000004,286.25,291.0,277.48499999999996
2021-06-21,279.51,278.98,284.385,276.905
2021-06-28,113.63499999999999,114.22999999999999,114.37,111.285
