date,open,close,low,high
2019-01-22,48.69,49.76,47.555,49.54
2019-01-23,46.88,47.04,45.75,50.035
2019-01-24,46.16,46.71,45.85,47.42
2019-01-25,46.825,46.54,46.18,46.965
2019-01-28,46.69,47.55,46.335,46.83
2019-01-29,46.735,47.12,46.1,47.68
2019-01-30,47.085,48.73,46.2,47.735
2019-01-31,48.46,49.22,47.5,49.05
2019-02-01,49.24,50.01,48.315,50.08
2019-02-04,49.87,49.9,49.69,50.72
2019-02-05,49.46,49.23,49.245,50.635
2019-02-06,48.835,48.84,48.485,49.845
2019-02-07,49.0,48.77,48.015,49.3
2019-02-08,49.335,50.01,48.58,49.725
2019-02-11,50.155,50.47,49.585,50.49
2019-02-12,50.415,50.81,50.205,50.81
2019-02-13,51.265,51.635,50.445,51.55
2019-02-14,51.635,51.635,51.09,51.665
2019-02-15,46.745,46.3,46.29,51.635
2019-02-19,51.35,51.41,51.215,51.84
2019-02-20,52.74,52.49,51.215,52.97
2019-02-21,53.06,53.1,52.235,53.61
2019-02-22,53.14,53.215,52.91,53.37
2019-02-25,52.67,53.25,52.51,53.375
2019-02-26,52.97,52.97,52.815,53.285
2019-02-27,53.485,53.3,52.87,53.675
2019-02-28,53.82,53.94,53.175,54.1
2019-03-01,53.92,53.69,53.115,53.99
2019-03-04,53.64,52.955,52.945,53.895
2019-03-05,52.74,52.625,52.365,53.15
2019-03-06,51.85,52.505,51.83,52.685
2019-03-07,52.845,53.355,52.255,53.65
2019-03-08,53.31,53.575,53.18,53.955
2019-03-11,53.985,54.245,53.41,54.565
2019-03-12,54.28,53.45,53.405,54.495
2019-03-13,53.77,54.33,53.405,54.69
2019-03-14,54.38,54.09,53.875,54.62
2019-03-15,54.46,54.19,53.985,54.63
2019-03-18,54.08,53.8,53.64,54.4
2019-03-19,53.885,54.605,53.785,54.99
2019-03-20,54.425,53.295,53.225,54.99
2019-03-21,53.01,52.78,52.38,53.68
2019-03-22,53.32,53.44,52.53,53.765
2019-03-25,53.57,53.14,52.94,53.86
2019-03-26,53.23,53.11,52.78,53.44
2019-03-27,53.75,53.7,52.975,54.02
2019-03-28,54.35,54.49,53.535,54.57
2019-03-29,54.585,54.35,54.22,54.795
2019-04-01,54.93,55.465,54.35,55.985
2019-04-02,55.44,55.92,55.195,56.14
2019-04-03,55.68,55.6,54.875,55.955
2019-04-04,55.4,55.67,55.195,55.74
2019-04-05,55.385,55.31,54.9,55.74
2019-04-08,55.605,55.755,55.165,55.865
2019-04-09,47.49,45.535,45.395,55.805
2019-04-10,56.235,56.39,45.395,56.48
2019-04-11,56.49,56.28,55.92,56.555
2019-04-12,56.63,56.71,56.085,57.465
2019-04-15,58.375,58.56,56.085,59.565
2019-04-16,58.665,58.485,58.13,58.87
2019-04-17,58.485,58.485,58.335,58.575
2019-04-18,58.15,58.82,57.88,58.83
2019-04-22,58.53,58.705,58.16,59.285
2019-04-23,58.305,57.61,57.24,59.0
2019-04-24,52.615,52.44,51.515,57.76
2019-04-25,52.16,51.04,51.0,52.465
2019-04-26,51.01,51.03,50.895,51.425
2019-04-29,51.12,50.75,50.74,51.6
2019-04-30,50.81,50.55,50.12,51.37
2019-05-01,50.97,51.765,50.415,51.805
2019-05-02,50.22,51.225,50.195,51.805
2019-05-03,50.6,50.495,49.935,51.275
2019-05-06,50.21,49.185,49.13,50.78
2019-05-07,47.8,46.615,46.055,50.78
2019-05-08,46.465,46.2,45.1,47.02
2019-05-09,45.08,44.815,44.7,46.49
2019-05-10,45.165,45.165,44.7,45.485
2019-05-13,44.82,45.61,44.775,45.74
2019-05-14,45.58,45.53,45.435,45.95
2019-05-15,45.16,44.905,44.765,45.765
2019-05-16,43.94,43.56,43.46,45.155
2019-05-17,44.27,44.46,43.46,44.78
2019-05-20,44.16,44.0,43.845,44.61
2019-05-21,43.385,44.545,42.86,44.735
2019-05-22,44.64,44.57,43.995,45.05
2019-05-23,44.57,44.57,44.525,44.655
2019-05-24,44.67,43.645,43.305,44.68
2019-05-28,44.28,44.73,43.985,45.025
2019-05-29,44.56,44.555,44.02,44.795
2019-05-30,51.37,51.39,43.93,51.705
2019-05-31,45.11,44.55,44.385,51.705
2019-06-03,44.63,45.1,44.195,44.835
2019-06-04,45.275,46.045,44.505,45.51
2019-06-05,46.24,46.8,45.33,46.8
2019-06-06,47.175,46.865,46.75,47.3
2019-06-07,46.64,46.33,46.455,46.955
2019-06-10,46.64,46.7,46.255,46.955
2019-06-11,45.76,46.19,45.55,46.91
2019-06-12,46.22,46.11,45.65,46.44
2019-06-13,46.655,47.365,46.055,47.495
2019-06-14,47.48,47.11,47.16,48.005
2019-06-17,47.88,47.22,47.0,48.05
2019-06-18,46.96,47.435,46.805,47.605
2019-06-19,47.4,47.625,47.18,47.725
2019-06-20,47.585,46.85,47.365,47.845
2019-06-21,47.585,46.85,46.805,47.64
2019-06-24,47.65,48.185,46.805,48.475
2019-06-25,48.19,47.455,48.01,48.475
2019-06-26,47.84,47.86,47.24,48.285
2019-06-27,49.23,48.04,47.765,49.42
2019-06-28,47.93,48.115,47.72,48.68
2019-07-01,48.22,48.49,47.695,48.43
2019-07-02,48.49,48.49,47.995,48.56
2019-07-03,48.11,48.085,47.5,48.49
2019-07-05,47.73,47.75,47.14,47.945
2019-07-08,55.855,55.8,47.18,56.0
2019-07-09,48.46,48.58,47.995,56.07
2019-07-10,48.985,49.89,48.31,49.645
2019-07-11,50.01,50.115,49.6,50.24
2019-07-12,50.0,49.17,49.18,50.145
2019-07-15,49.39,49.42,48.97,49.685
2019-07-16,49.275,49.945,48.895,49.655
2019-07-17,50.03,50.245,49.115,50.41
2019-07-18,49.95,51.335,49.95,51.075
2019-07-19,51.985,51.755,50.885,51.99
2019-07-22,51.895,52.93,51.3,52.675
2019-07-23,52.53,52.13,52.105,52.97
2019-07-24,52.77,51.545,51.55,53.5
2019-07-25,51.47,52.505,50.78,52.265
2019-07-26,51.66,51.705,51.57,52.56
2019-07-29,51.495,50.62,51.24,52.13
2019-07-30,50.525,49.545,50.06,51.885
2019-07-31,49.205,48.705,48.515,51.895
2019-08-01,47.105,46.88,46.575,49.02
2019-08-02,44.235,43.46,43.21,47.63
2019-08-05,46.275,46.695,43.21,47.11
