open,high,low,last,close,volume,date,symbol,exchange
441.66,445.63,440.6,444.6,440.25,31310.0,2020-08-06T14:30:00+0000,AAPL,IEXG
441.66,445.63,440.6,445.075,440.25,29690.0,2020-08-06T14:25:00+0000,AAPL,IEXG
441.66,445.63,440.6,444.88,440.25,29140.0,2020-08-06T14:20:00+0000,AAPL,IEXG
441.66,445.63,440.6,444.64,440.25,27870.0,2020-08-06T14:15:00+0000,AAPL,IEXG
441.66,445.35,440.6,445.12,440.25,27002.0,2020-08-06T14:10:00+0000,AAPL,IEXG
441.66,444.87,440.6,444.105,440.25,24047.0,2020-08-06T14:05:00+0000,AAPL,IEXG
441.66,444.87,440.6,444.25,440.25,21546.0,2020-08-06T14:00:00+0000,AAPL,IEXG
441.66,443.63,440.6,443.25,440.25,18910.0,2020-08-06T13:55:00+0000,AAPL,IEXG
441.66,443.63,440.6,441.9,440.25,15869.0,2020-08-06T13:50:00+0000,AAPL,IEXG
441.66,443.63,440.6,441.83,440.25,9966.0,2020-08-06T13:40:00+0000,AAPL,IEXG
441.66,443.63,441.4,442.265,440.25,6174.0,2020-08-06T13:35:00+0000,AAPL,IEXG
441.66,441.95,441.66,441.74,440.25,1150.0,2020-08-06T13:30:00+0000,AAPL,IEXG
437.51,441.57,435.59,440.25,438.66,30025697.0,2020-08-06T00:00:00+0000,AAPL,IEXG
437.585,441.285,435.66,439.645,438.66,236915.0,2020-08-05T19:55:00+0000,AAPL,IEXG
437.585,441.285,435.66,439.185,438.66,232103.0,2020-08-05T19:50:00+0000,AAPL,IEXG
437.585,441.285,435.66,439.685,438.66,228740.0,2020-08-05T19:45:00+0000,AAPL,IEXG
437.585,441.285,435.66,439.695,438.66,226944.0,2020-08-05T19:40:00+0000,AAPL,IEXG
437.585,441.285,435.66,439.98,438.66,220830.0,2020-08-05T19:35:00+0000,AAPL,IEXG
437.585,441.285,435.66,438.92,438.66,218194.0,2020-08-05T19:30:00+0000,AAPL,IEXG
104.03,105.3,103.34,105.005,106.84,120991.0,2020-09-21T13:40:00+0000,AAPL,IEXG
104.03,105.3,103.34,105.14,106.84,83113.0,2020-09-21T13:35:00+0000,AAPL,IEXG
104.03,104.54,103.67,104.4,106.84,1482.0,2020-09-21T13:30:00+0000,AAPL,IEXG
110.53,111.25,106.1,106.97,110.34,1615608.0,2020-09-18T20:10:00+0000,AAPL,IEXG
110.53,111.25,106.1,106.86,110.34,1615316.0,2020-09-18T20:05:00+0000,AAPL,IEXG
110.53,111.25,106.1,106.7,110.34,1614964.0,2020-09-18T20:00:00+0000,AAPL,IEXG
110.53,111.25,106.1,106.7,110.34,1471846.0,2020-09-18T19:55:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.95,110.34,1370184.0,2020-09-18T19:50:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.895,110.34,1316558.0,2020-09-18T19:45:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.93,110.34,1279345.0,2020-09-18T19:40:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.85,110.34,1237129.0,2020-09-18T19:35:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.69,110.34,1188127.0,2020-09-18T19:30:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.685,110.34,1136752.0,2020-09-18T19:25:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.38,110.34,1126429.0,2020-09-18T19:20:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.625,110.34,1111366.0,2020-09-18T19:15:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.785,110.34,1092094.0,2020-09-18T19:10:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.69,110.34,1078397.0,2020-09-18T19:05:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.56,110.34,1065422.0,2020-09-18T19:00:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.34,110.34,1054938.0,2020-09-18T18:50:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.19,110.34,1045548.0,2020-09-18T18:45:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.495,110.34,1039387.0,2020-09-18T18:40:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.65,110.34,1032640.0,2020-09-18T18:35:00+0000,AAPL,IEXG
110.53,111.25,106.1,107.52,110.34,1028330.0,2020-09-18T18:30:00+0000,AAPL,IEXG
