index,batch_size,optimizer,learning_rate,num_layers,neuronas_1,neuronas_2,dropout_1,dropout_2,dropout_recurrente_1,dropout_recurrente_2,activador_capas_1,activador_capas_2,activador_salida,bidireccional_1,bidireccional_2,Losses_train,Losses_val,Losses_test
174,16,sgd,"0,01",one,64,,0.0463469033937367,,0.0107651322235406,,relu,,elu,,,0.0150208044797182,0.0129677215591073,0.013880674727261
128,2,adam,"0,01",two,64,50.0,0.4431165601551087,0.1351768088989294,0.3741991518795526,0.3615892118801572,swish,swish,linear,,,0.0137311173602938,0.013057273812592,0.0138546572998166
176,16,adam,"0,001",one,64,,0.246207592435017,,0.0501553112591329,,swish,,softsign,,,0.0139410505071282,0.0133511759340763,0.0159147214144468
7,2,adagrad,"0,1",one,64,,0.3213673213416412,,0.3935151430090673,,gelu,,softsign,mul,,0.01699810475111,0.0144719555974006,0.0165452621877193
45,16,nadam,"0,01",one,64,,0.4936769495840703,,0.2175554954476619,,elu,,swish,mul,,0.0155502883717417,0.0147668039426207,0.0155341355130076
2,2,adamax,"0,0001",two,64,50.0,0.3464700906452713,0.0408719415311673,0.0952061458035651,0.2709994859968945,selu,elu,softplus,mul,concat,0.0193135254085064,0.0153469741344451,0.0193073917180299
17,1,adagrad,"0,01",one,64,,0.1975407080578503,,0.3510128114202921,,softsign,,tanh,mul,,0.0200029369443655,0.0157732367515563,0.0208894666284322
98,4,adam,"0,01",one,64,,0.039687920763831,,0.1348381255060798,,softmax,,sigmoid,mul,,0.0203611422330141,0.0167114045470953,0.0190409664064645
196,8,adam,"0,01",two,64,50.0,0.0127477994173401,0.1613860845696243,0.2152351330021597,0.2141408782129524,softmax,linear,swish,,,0.0217721182852983,0.0170633643865585,0.0208812057971954
183,2,adam,"0,001",one,64,,0.0307138235899833,,0.2308628262932575,,sigmoid,,softsign,,,0.0278879012912511,0.0185312442481517,0.0299138724803924
28,4,nadam,"0,001",one,64,,0.0002796566321533,,0.2854321915473504,,softplus,,swish,ave,,0.0206319205462932,0.0186335537582635,0.0204447340220212
9,32,rmsprop,"0,001",two,64,50.0,0.3571193306573022,0.4984951743803864,0.3635544052075924,0.2159153965616039,elu,softmax,elu,concat,concat,0.0253377519547939,0.0187460836023092,0.0255494322627782
123,1,rmsprop,"0,0001",two,64,50.0,0.3060622682855066,0.3073192638221365,0.2817938375207924,0.3954033448394746,elu,linear,swish,,,0.0205973293632268,0.0190247148275375,0.0229496303945779
133,4,sgd,"0,1",one,64,,0.461839022195971,,0.1266045414566076,,elu,,sigmoid,,,0.0221824087202548,0.0190490186214447,0.0210443492978811
112,8,adagrad,"0,1",one,64,,0.3584905768605242,,0.3353442288659167,,softsign,,sigmoid,,,0.0200813487172126,0.0193064082413911,0.0214456319808959
189,2,sgd,"0,01",one,64,,0.2704222870566305,,0.0074768571043194,,relu,,linear,,,0.0211138501763343,0.0193386618047952,0.0208153333514928
87,8,adagrad,"0,01",one,64,,0.0571615101799841,,0.2398259405625806,,linear,,elu,concat,,0.0222669430077076,0.0198828633874654,0.0234834104776382
129,32,rmsprop,"0,001",one,64,,0.3372010102503225,,0.4649828622893721,,gelu,,tanh,,,0.021046282723546,0.0199982523918151,0.0238750670105218
43,32,sgd,"0,01",one,64,,0.0036443511693219,,0.0962575260660805,,linear,,linear,sum,,0.0230754297226667,0.0202012080699205,0.0248880293220281
182,2,nadam,"0,0001",one,64,,0.0016958706489407,,0.1863651654708743,,sigmoid,,selu,,,0.0238710884004831,0.0205261576920747,0.0247710943222045
